MonthNum,WeekDayNum,DayNum,HourNum,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
1,4,1,18,0.054970533,-0.005950803,-0.022969078,-0.027683119,-0.004614592,0.028664879,0.023686049,-0.039920064,0.015376601
1,4,1,19,0.081860013,0.051134771,0.005871982,0.018765789,0.046691077,0.086070883,0.084961199,0.016722105,0.060900618
1,4,1,20,0.065929511,0.069058538,0.01428304,0.031725471,0.05899017,0.08442884,0.090295483,0.03667005,0.063046653
1,4,1,21,0.063146104,0.046191177,0.016008099,0.020040856,0.033515854,0.082284598,0.070838358,0.026450529,0.049810986
1,4,1,22,0.031594511,0.012432259,0.009733876,5.31E-06,0.003866004,0.054302806,0.034692507,0.00864307,0.020689448
1,4,1,23,0.002779719,0.003372585,0.012023236,-0.009413629,-0.009454496,0.032031179,0.010928692,0.002288028,0.002780862
1,5,1,0,-0.044011376,-0.055392785,-0.010115655,-0.060182367,-0.071027272,-0.030066275,-0.064531543,-0.044859222,-0.053843108
1,5,1,1,-0.072801844,-0.091646046,-0.017274429,-0.079472452,-0.110578341,-0.063677138,-0.095048523,-0.063809769,-0.085071275
1,5,1,2,-0.083897549,-0.100916098,-0.003566606,-0.071943259,-0.106145567,-0.086245426,-0.104427093,-0.055127664,-0.08739564
1,5,1,3,-0.100205156,-0.113386283,-0.020656446,-0.087097399,-0.12809269,-0.099995045,-0.120206452,-0.068515694,-0.106501345
1,5,1,4,-0.101599429,-0.104866507,-0.016313076,-0.076517871,-0.117841799,-0.102767619,-0.114203471,-0.056909408,-0.101502902
1,5,1,5,-0.091080614,-0.078621422,0.004022045,-0.042732796,-0.079891322,-0.100322707,-0.095052959,-0.026541041,-0.077526111
1,5,1,6,-0.075046785,-0.056737777,-0.001117603,-0.031272924,-0.063881415,-0.067870906,-0.066645074,-0.012755185,-0.060941504
1,5,1,7,-0.034246436,0.000503227,0.01647495,0.017463297,0.00207297,-0.013325232,-0.000281084,0.041900206,-0.006861314
1,5,1,8,-0.010526981,0.042755574,0.033306507,0.069756437,0.066213622,3.29E-05,0.047491503,0.091400027,0.034572314
1,5,1,9,0.011175874,0.052939338,0.029411265,0.066769876,0.071202989,0.045993643,0.067402131,0.096924248,0.049306693
1,5,1,10,0.026748798,0.039957043,0.02038808,0.059319037,0.069764481,0.050405129,0.058797166,0.073284011,0.050016388
1,5,1,11,0.030441157,0.034872657,0.015479293,0.056161366,0.071626581,0.041380371,0.043270155,0.05241242,0.046727568
1,5,1,12,0.01925421,-0.005789927,-0.002344642,0.00989263,0.019399446,0.026261704,0.003471085,0.004078943,0.014038644
1,5,1,13,-0.002019449,-0.046488674,-0.023837297,-0.036424628,-0.031416231,0.005893409,-0.043088928,-0.04397549,-0.023286429
1,5,1,14,-0.009147544,-0.053914297,-0.022644327,-0.050351535,-0.045376046,0.006124165,-0.063350708,-0.060400481,-0.033529285
1,5,1,15,-0.030116953,-0.099115617,-0.045012113,-0.08595299,-0.095389114,-0.016073461,-0.093982205,-0.093406506,-0.067987299
1,5,1,16,-0.041369016,-0.106125087,-0.052452498,-0.098751215,-0.110994856,-0.027345698,-0.103577726,-0.10539032,-0.080011861
1,5,1,17,-0.038317699,-0.087643083,-0.036351217,-0.085698992,-0.093517693,-0.018229972,-0.085852184,-0.095707316,-0.066713171
1,5,1,18,-0.023061383,-0.062039384,-0.049108981,-0.062097382,-0.068492714,-0.030793045,-0.065515654,-0.083278661,-0.051743793
1,5,1,19,0.019606808,0.001904997,-0.017224383,-0.00941264,-0.009109744,0.026833429,0.004523016,-0.022455068,0.002876972
1,5,1,20,0.020675273,0.024590234,0.002142078,0.004553666,0.007648274,0.036135914,0.016702105,-0.00194204,0.014349793
1,5,1,21,0.011288986,0.01022167,-0.003250323,-0.003984389,-0.006091214,0.021234063,0.002878407,-0.011174464,0.002615758
1,5,1,22,-0.012576017,-0.01301954,-0.007056818,-0.022579925,-0.025888234,-0.0026454,-0.023252837,-0.023505873,-0.0184505
1,5,1,23,-0.023905403,-0.014760328,0.003819871,-0.031562226,-0.030156092,-0.011358149,-0.036435708,-0.018366291,-0.024554065
1,6,1,0,-0.085268253,-0.115885808,-0.034947648,-0.101725979,-0.125233638,-0.092213064,-0.110520324,-0.091818257,-0.101606677
1,6,1,1,-0.101556562,-0.108467637,-0.03127435,-0.091141121,-0.115986173,-0.101339188,-0.123961506,-0.075147818,-0.104590158
1,6,1,2,-0.102809648,-0.090713342,-0.014341155,-0.082626601,-0.108198487,-0.111016522,-0.124013282,-0.053048307,-0.099120492
1,6,1,3,-0.128481676,-0.118737467,-0.034533039,-0.094266489,-0.129327139,-0.135545455,-0.142978558,-0.073332605,-0.122624672
1,6,1,4,-0.131728407,-0.113100512,-0.031221339,-0.084089382,-0.11716226,-0.139485928,-0.135531843,-0.062145122,-0.117531179
1,6,1,5,-0.112890552,-0.075616512,-0.012298978,-0.062845561,-0.088116317,-0.128815061,-0.109133457,-0.038020453,-0.092895614
1,6,1,6,-0.114002571,-0.070363655,-0.021426261,-0.0471641,-0.072738661,-0.115579737,-0.091469381,-0.025280943,-0.084910985
1,6,1,7,-0.08568311,-0.014723631,-0.009058497,-0.003325571,-0.017755936,-0.073563785,-0.031891537,0.025871983,-0.04052884
1,6,1,8,-0.054480753,0.033417468,0.005403797,0.028361624,0.02443323,-0.054284604,0.019807412,0.066439609,-0.004208563
1,6,1,9,-0.050451761,0.044162637,0.00095368,0.047062575,0.040776757,-0.021162536,0.031072074,0.076363754,0.008007786
1,6,1,10,-0.034684099,0.013779834,-0.007435759,0.026410584,0.02605959,-0.012214256,0.016597692,0.042408488,0.002447654
1,6,1,11,-0.019798325,-0.000377556,-0.014215111,-0.000618148,0.014518187,-0.028956373,0.004964057,0.012750085,-0.00342666
1,6,1,12,-0.03745557,-0.058440183,-0.031648988,-0.035752127,-0.029829248,-0.044885401,-0.039064273,-0.034776308,-0.036394966
1,6,1,13,-0.046550736,-0.091715665,-0.046747208,-0.069735957,-0.06769833,-0.064053242,-0.070166697,-0.074515531,-0.062252534
1,6,1,14,-0.041596284,-0.099352907,-0.043791074,-0.087193634,-0.081786442,-0.061728392,-0.075922158,-0.080234209,-0.066378442
1,6,1,15,-0.063203921,-0.131433222,-0.061905194,-0.113237187,-0.119362999,-0.079551584,-0.107191444,-0.114915502,-0.0956732
1,6,1,16,-0.067434513,-0.139477399,-0.067774259,-0.124894189,-0.132681016,-0.081128816,-0.110971459,-0.12377536,-0.10319128
1,6,1,17,-0.055929164,-0.124443247,-0.053320777,-0.11614584,-0.121938211,-0.064260934,-0.087009701,-0.107793762,-0.088374965
1,6,1,18,-0.035262077,-0.085296474,-0.060347178,-0.078675261,-0.083937865,-0.06521379,-0.058488229,-0.093608972,-0.064069592
1,6,1,19,0.019974486,-0.006844455,-0.023526126,-0.017851258,-0.011362732,0.011078752,0.026632741,-0.026144283,0.003535775
1,6,1,20,0.019462297,-0.001345566,-0.007708999,-0.017401995,-0.009499882,0.025241166,0.038347773,-0.010373789,0.008264792
1,6,1,21,0.015013952,0.00140787,-0.007911829,-0.012265427,-0.007241412,0.026780779,0.02816966,-0.011232345,0.006927438
1,6,1,22,-0.016367469,-0.030872581,-0.014446977,-0.041121544,-0.039560514,-0.00151311,-0.012412592,-0.033909838,-0.024153657
1,6,1,23,-0.047963934,-0.068822589,-0.016397742,-0.079626688,-0.082542552,-0.04199766,-0.053814066,-0.057554598,-0.059369872
2,0,1,0,-0.100770611,-0.122009755,-0.033526587,-0.105367806,-0.130465155,-0.099824876,-0.123328172,-0.104101727,-0.110190828
2,0,1,1,-0.137430827,-0.14762355,-0.040155628,-0.124075568,-0.168359238,-0.156280624,-0.169722625,-0.114276441,-0.146737921
2,0,1,2,-0.128020261,-0.141164742,-0.029303026,-0.126930253,-0.181136941,-0.150915348,-0.175580367,-0.113580359,-0.146266384
